variant,prompt,response
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. AdaptalFit Shoes
3. UniversalFit Footwear"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. FlexiFit Shoes
2. SizeSync Footwear
3. OmniStride Shoes
4. AdaptEase Boots
5. Unisole Sneakers"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoe
2. AdaptaFit Shoe
3. VersaFit Shoe
4. UniversalFit Shoe
5. FlexiFit Shoe"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFitLoops
2. AdaptiSole
3. UniversalFlexFootwear
4. CustomFitStride
5. VersaFitSneaks"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. AdaptiFit Footwear
3. UniversalFit Sneakers
4. FlexiFit Shoes
5. ComfortFit Footwear
6. SizeFlex Shoes
7. VersaFit Sneakers"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit, InfiniteFit, OmniSize, FlexiFit"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptiShoes, OmniFitSoles, FitFootwear, UniSize Sneakers"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit, OmniFlex Shoes, FitAll Footwear, CustomFit
Sneakers"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit, OmniStep, PerfectFit, SizeFlex."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","UniFit Shoes, AdaptiSoles, OmniFootwear, SizeFlex Shoes."
